Team,PR,kag_id,kag_yr
ALABAMA BIRMINGHAM,65.76,805,S
HOLY CROSS,65.70,616,S
ARKANSAS ST.,65.59,516,S
SOUTH CAROLINA UPSTATE,65.55,760,S
HAWAII,65.53,613,S
QUINNIPIAC,65.47,739,S
WISCONSIN MILWAUKEE,65.41,845,S
PACIFIC,65.39,727,S
NORTH CAROLINA CHARLOTTE,65.38,546,S
PEPPERDINE,65.33,730,S
WEBER ST.,65.30,842,S
LOYOLA MARYMOUNT,65.27,652,S
SIENA,65.25,766,S
VALPARAISO,65.16,826,S
MT. ST. MARY,65.11,686,S
LONG BEACH ST.,65.10,647,S
MISSISSIPPI ST.,64.79,675,S
OLD DOMINION,64.79,723,S
COLGATE,64.64,555,S
ELON,64.63,585,S
MURRAY ST.,64.38,687,S
FORDHAM,64.27,596,S
WESTERN KENTUCKY,64.18,835,S
OAKLAND MI,64.04,718,S
ST. FRANCIS N.Y.,63.97,776,S
NORTHERN ILLINOIS,63.88,690,S
MARIST,63.83,659,S
EVANSVILLE,63.71,587,S
COLLEGE OF CHARLESTON,63.62,554,S
NORTHWESTERN ST.,63.56,716,S
KENT ST.,63.54,639,S
NORTHEASTERN,63.48,712,S
COASTAL CAROLINA,63.46,553,S
YOUNGSTOWN ST.,63.43,855,S
BRADLEY,63.20,530,S
FLORIDA INTERNATIONAL,63.09,594,S
ROBERT MORRIS,62.98,745,S
EAST CAROLINA,62.95,583,S
DRAKE,62.93,575,S
HARTFORD,62.92,611,S
DETROIT,62.84,574,S
WESTERN CAROLINA,62.81,833,S
ARMY,62.75,517,S
NEBRASKA OMAHA,62.66,697,S
MIAMI OHIO,62.60,669,S
CAL POLY,62.58,538,S
NORTH CAROLINA ASHEVILLE,62.43,814,S
DARTMOUTH,62.37,567,S
VMI,62.06,832,S
CHARLESTON SOUTHERN,61.99,545,S
CAL STATE NORTHRIDGE,61.98,565,S
ARKANSAS LITTLE ROCK,61.84,513,S
EAST TENNESSEE ST.,61.83,586,S
MORGAN ST.,61.67,683,S
BOWLING GREEN,61.56,529,S
AIR FORCE,61.55,502,S
BRYANT,61.48,532,S
HAMPTON,61.48,610,S
ST. PETER,61.37,782,S
WINTHROP,61.36,848,S
RIDER,61.32,744,S
LAFAYETTE,61.28,642,S
MOREHEAD ST.,61.24,682,S
HIGH POINT,61.17,614,S
TCU,61.04,788,S
FLORIDA ATLANTIC,61.03,590,S
SE MISSOURI ST.,61.01,762,S
PENNSYLVANIA,60.99,728,S
TEXAS ARLINGTON,60.97,819,S
MARSHALL,60.77,661,S
UTAH VALLEY ST.,60.72,823,S
LEHIGH,60.57,644,S
SAM HOUSTON ST.,60.54,751,S
MONTANA,60.37,680,S
GARDNER-WEBB,60.30,601,S
TROY ST.,60.22,800,S
HOFSTRA,60.16,615,S
LOYOLA ILLINOIS,60.12,654,S
TEXAS A&M-CORPUS CHRISTI,60.12,787,S
EASTERN WASHINGTON,60.02,582,S
FAIRFIELD,60.01,589,S
ORAL ROBERTS,59.93,724,S
NORTH TEXAS,59.84,711,S
NORTHERN COLORADO,59.76,688,S
SOUTH ALABAMA,59.54,768,S
NORTH FLORIDA,59.18,710,S
LOUISIANA MONROE,59.15,812,S
ILLINOIS CHICAGO,59.09,622,S
JAMES MADISON,59.05,635,S
SOUTHERN,59.04,773,S
NORFOLK ST.,58.96,707,S
SOUTH DAKOTA,58.94,770,S
TENNESSEE CHATTANOOGA,58.92,547,S
CAL STATE FULLERTON,58.89,564,S
NORTH DAKOTA,58.81,709,S
RADFORD,58.54,740,S
LIPSCOMB,58.53,646,S
NORTHERN ARIZONA,58.50,713,S
TULANE,58.49,801,S
NIAGARA,58.49,704,S
GRAND CANYON,58.46,609,S
IDAHO,58.45,620,S
CAL STATE BAKERSFIELD,58.40,563,S
SACRAMENTO ST.,57.95,566,S
