Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
112,Portland,15-16,.6184,108.1,103.6,66.6,-.109,.5170,105.7,105.0,.3373,732,S
113,Western Michigan,23-9,.6182,106.7,102.3,66.9,+.086,.4410,103.3,105.4,.4111,836,S
114,UC Santa Barbara,21-9,.6112,108.8,104.6,63.6,+.056,.4974,104.5,104.6,.6251,757,S
115,Louisiana Lafayette,23-11,.6106,109.9,105.7,69.9,+.046,.4962,104.5,104.6,.6402,811,S
116,Wake Forest,17-16,.6075,105.8,101.8,68.1,+.058,.6473,108.4,102.9,.3608,839,S
117,Wyoming,18-14,.6047,104.8,101.0,60.9,-.059,.5252,105.4,104.4,.4029,852,S
118,Davidson,20-12,.5997,113.0,109.1,67.3,-.001,.4106,102.7,106.0,.7137,568,S
119,Ohio,23-11,.5974,107.3,103.7,65.5,+.031,.4613,102.6,104.0,.4693,719,S
120,Vanderbilt,15-16,.5965,102.6,99.1,63.3,+.018,.6377,106.5,101.4,.4918,827,S
121,South Carolina,14-20,.5948,105.9,102.4,66.7,-.052,.6559,107.1,101.3,.5030,769,S
122,Eastern Michigan,21-14,.5945,97.5,94.3,64.6,+.010,.5342,105.3,104.0,.7214,581,S
123,Fresno St.,17-16,.5936,110.0,106.4,66.8,+.006,.6096,106.2,102.2,.6380,597,S
124,South Dakota St.,19-12,.5898,105.6,102.3,67.6,+.009,.4656,104.4,105.7,.5386,748,S
125,Boston University,24-10,.5892,105.1,101.9,66.7,+.092,.4580,103.6,105.1,.5760,528,S
126,Columbia,19-12,.5836,105.3,102.3,62.1,-.014,.4413,103.3,105.4,.4429,558,S
127,Wright St.,20-14,.5789,100.0,97.3,64.9,-.050,.4340,103.4,105.8,.3332,851,S
128,Towson,23-10,.5787,110.9,107.9,65.3,+.073,.4117,103.3,106.6,.4244,799,S
129,Eastern Kentucky,24-9,.5777,111.3,108.3,66.1,+.041,.3759,103.7,108.4,.4310,580,S
130,Houston,17-16,.5768,111.2,108.2,67.1,+.056,.5932,104.8,101.4,.3029,617,S
131,Texas A&M,17-15,.5725,100.2,97.7,63.2,-.005,.5392,104.9,103.5,.2739,794,S
132,Utah St.,18-14,.5669,107.7,105.2,63.9,+.010,.5378,105.1,103.7,.3524,822,S
133,Akron,21-12,.5655,103.1,100.7,65.2,+.086,.4798,103.1,103.9,.4894,503,S
134,Drexel,16-14,.5612,103.9,101.7,64.1,-.031,.5223,105.5,104.7,.6558,576,S
135,Northwestern,14-19,.5608,96.1,94.1,61.6,+.033,.6970,109.3,101.6,.4247,715,S
136,Auburn,14-16,.5593,109.0,106.7,67.7,-.025,.5953,105.7,102.2,.3348,518,S
137,George Mason,11-20,.5584,106.1,103.9,66.9,-.036,.6388,106.9,101.8,.5444,602,S
138,Colorado St.,16-16,.5552,109.5,107.4,66.7,-.073,.5091,104.6,104.3,.3472,557,S
139,Denver,16-15,.5547,110.4,108.4,59.2,-.030,.5139,104.7,104.2,.5868,572,S
140,Illinois St.,16-15,.5547,102.0,100.1,68.1,+.019,.5627,105.7,103.4,.5602,624,S
141,Boston College,8-24,.5537,113.3,111.2,63.0,-.074,.7343,108.9,99.7,.6845,527,S
142,San Diego,16-16,.5509,104.3,102.4,62.9,-.026,.5606,106.7,104.5,.3982,753,S
143,IPFW,24-10,.5458,107.3,105.6,66.9,+.065,.4242,103.0,105.8,.4007,630,S
144,Duquesne,13-17,.5421,110.0,108.4,68.1,-.053,.5315,103.7,102.6,.2933,578,S
145,Long Beach St.,15-17,.5413,104.1,102.6,66.7,-.024,.5883,107.2,103.9,.8057,647,S
146,Holy Cross,20-13,.5403,103.6,102.2,64.0,+.039,.4683,103.4,104.5,.5447,616,S
147,Nevada,15-17,.5399,107.9,106.4,65.4,+.027,.5758,106.7,103.9,.5369,699,S
148,Hawaii,20-11,.5363,109.9,108.6,68.7,-.045,.4058,103.8,107.3,.3891,613,S
149,Missouri St.,20-12,.5332,105.5,104.3,64.7,+.130,.5495,104.9,103.1,.4591,678,S
150,Quinnipiac,20-11,.5314,111.3,110.1,69.9,+.073,.4692,103.4,104.5,.4938,739,S
151,Bucknell,16-14,.5312,101.7,100.6,64.8,-.041,.4611,103.6,105.0,.5767,533,S
152,Santa Clara,14-19,.5220,106.6,105.8,65.6,-.043,.5694,106.7,104.2,.4002,758,S
153,Southern Illinois,14-19,.5181,105.8,105.1,63.0,-.061,.5222,104.7,103.9,.4265,749,S
154,UAB,18-13,.5136,103.5,103.0,68.5,-.009,.4564,102.4,104.0,.4341,805,S
155,Murray St.,18-11,.5124,107.7,107.3,67.4,+.017,.3922,104.1,108.2,.5751,687,S
156,USC,11-21,.5093,102.2,101.8,70.3,-.015,.6917,108.6,101.2,.4996,818,S
157,Pacific,15-15,.5000,108.3,108.3,67.1,+.062,.6130,107.5,103.2,.5484,727,S
158,Brown,15-14,.4995,100.6,100.6,70.1,-.118,.4081,101.9,105.3,.3640,531,S
159,Temple,9-22,.4987,109.3,109.3,67.9,-.078,.6715,107.5,101.0,.5663,789,S
160,USC Upstate,19-14,.4976,105.4,105.5,65.7,-.046,.3742,102.8,107.5,.5615,760,S
161,Valparaiso,18-15,.4941,102.2,102.4,65.4,-.014,.4960,104.3,104.4,.4983,826,S
162,Arkansas St.,19-13,.4925,106.1,106.4,68.1,+.004,.4222,102.8,105.7,.3963,516,S
163,Milwaukee,21-13,.4890,104.5,104.9,67.5,+.120,.5080,104.0,103.7,.4628,845,S
164,William & Mary,20-12,.4866,112.0,112.5,65.2,+.095,.4601,103.1,104.6,.4785,847,S
165,Stony Brook,23-10,.4858,105.0,105.6,66.0,+.017,.3190,99.8,106.6,.4543,785,S
166,Pepperdine,15-16,.4852,106.6,107.1,67.1,+.025,.5673,106.4,103.9,.4025,730,S
167,Northwestern St.,17-14,.4846,108.4,109.0,75.6,-.019,.4167,103.7,106.7,.7211,716,S
168,UCF,13-18,.4834,105.7,106.3,67.6,-.047,.6115,106.2,102.1,.2953,809,S
169,Weber St.,19-11,.4782,105.6,106.4,64.4,-.001,.3454,103.4,109.3,.6491,842,S
170,Rutgers,12-21,.4779,105.7,106.5,68.6,-.012,.6193,106.6,102.2,.3733,746,S
171,Yale,15-13,.4731,100.7,101.7,65.2,+.055,.5037,104.4,104.2,.5559,854,S
172,Siena,15-17,.4708,100.9,101.9,66.4,+.019,.4989,105.5,105.5,.5557,766,S
173,Cal Poly,13-19,.4697,103.2,104.3,60.2,-.059,.5653,107.0,104.5,.7416,538,S
174,Wagner,19-12,.4653,98.2,99.4,68.0,+.017,.3559,102.8,108.2,.5147,838,S
175,DePaul,12-21,.4643,105.2,106.5,67.3,+.032,.7023,108.8,101.0,.4629,573,S
176,Charlotte,17-14,.4624,101.5,102.9,69.4,+.046,.4641,103.1,104.4,.4408,546,S
177,Albany,18-14,.4582,101.9,103.4,63.2,-.002,.3657,101.0,106.0,.5337,507,S
178,Nebraska Omaha,16-14,.4580,103.7,105.2,74.2,-.067,.4558,104.0,105.6,.4699,697,S
179,Western Kentucky,20-12,.4551,100.7,102.2,66.2,+.113,.4623,103.8,105.2,.5090,835,S
180,Florida Gulf Coast,22-12,.4545,100.2,101.8,68.3,+.024,.3172,102.2,109.2,.4433,591,S
181,Colgate,13-18,.4534,107.9,109.7,64.0,-.149,.4255,102.4,105.1,.4473,555,S
182,Old Dominion,16-17,.4489,99.3,101.1,63.9,+.011,.4698,102.9,103.9,.4801,723,S
183,Youngstown St.,15-17,.4485,107.0,108.9,67.7,-.053,.4999,104.4,104.4,.4591,855,S
184,Wofford,20-12,.4482,100.9,102.8,62.0,+.024,.3603,103.2,108.5,.6799,850,S
185,Robert Morris,21-13,.4472,103.8,105.7,65.3,+.099,.4249,104.3,107.1,.6299,745,S
186,Loyola Marymount,13-19,.4471,104.1,106.0,69.7,+.047,.6233,107.8,103.2,.5467,652,S
187,Washington St.,10-21,.4469,101.2,103.1,62.1,-.043,.6693,107.8,101.4,.4207,841,S
188,Morehead St.,20-13,.4458,102.2,104.1,69.2,+.046,.4343,104.7,107.1,.5668,682,S
189,Oral Roberts,17-16,.4396,107.4,109.7,64.4,-.058,.4332,103.1,105.6,.7459,724,S
190,Mount St. Mary's,16-16,.4394,108.3,110.7,70.1,+.040,.4279,103.1,105.7,.5979,686,S
191,Virginia Tech,9-22,.4344,98.1,100.4,63.6,-.081,.6402,108.1,102.8,.3495,831,S
192,Oakland,13-20,.4326,109.0,111.6,69.1,+.025,.6117,105.7,101.6,.7305,718,S
193,Kent St.,16-16,.4310,102.9,105.4,66.6,-.022,.4398,102.1,104.3,.3966,639,S
194,Detroit,13-19,.4308,100.6,103.0,67.8,-.049,.5298,105.1,104.0,.5252,574,S
195,Sam Houston St.,23-10,.4308,105.4,108.0,65.4,+.093,.3360,102.0,108.2,.4262,751,S
196,Drake,15-16,.4261,103.9,106.6,64.6,+.024,.5506,105.7,103.9,.5163,575,S
197,South Florida,12-20,.4250,101.6,104.3,65.5,+.017,.5844,105.4,102.3,.3377,771,S
198,Utah Valley,20-11,.4238,102.6,105.4,62.3,+.130,.3949,103.0,106.9,.4833,823,S
199,Bryant,18-14,.4176,104.8,107.9,66.9,+.030,.4032,102.4,106.0,.5785,532,S
200,Fordham,10-21,.4150,107.8,111.0,68.8,-.036,.6125,105.0,100.9,.4225,596,S
201,Elon,18-14,.4150,103.9,107.1,66.2,+.034,.3983,103.4,107.2,.6450,585,S
202,Southern,19-13,.4146,96.5,99.4,67.4,-.035,.3546,101.0,106.4,.7784,773,S
203,St. Francis NY,18-14,.4126,98.7,101.8,66.8,+.007,.3895,103.6,107.7,.5297,776,S
204,Northeastern,11-21,.4108,100.4,103.6,65.2,-.047,.5110,104.5,104.1,.5859,712,S
205,Marist,12-19,.4070,102.0,105.4,66.4,-.021,.4917,104.3,104.6,.5648,659,S
206,College of Charleston,14-18,.4053,96.9,100.2,62.3,-.068,.4427,104.0,106.1,.4476,554,S
207,Northern Illinois,15-17,.4014,93.3,96.6,63.2,+.019,.4524,102.8,104.5,.4318,690,S
208,Evansville,14-19,.3952,102.3,106.1,67.2,+.007,.5468,105.3,103.6,.4386,587,S
209,Bradley,12-20,.3924,99.8,103.7,64.3,-.050,.4733,104.2,105.1,.3375,530,S
210,UT Arlington,15-17,.3886,105.2,109.4,69.9,+.058,.5004,104.2,104.2,.6333,819,S
211,Lafayette,11-20,.3866,110.5,115.0,66.4,-.061,.4721,102.5,103.5,.5483,642,S
212,Montana,17-13,.3859,106.8,111.2,61.2,+.002,.3673,103.9,108.9,.6319,680,S
213,Miami OH,13-18,.3819,98.2,102.4,66.9,+.076,.5284,104.5,103.5,.6295,669,S
214,Cal St. Northridge,17-18,.3810,106.2,110.8,69.4,+.029,.4167,103.4,106.5,.3696,565,S
