Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
274,Fairfield,7-25,.2784,96.2,104.5,66.5,-.019,.5134,104.9,104.4,.5879,589,S
275,Niagara,7-26,.2762,100.8,109.6,72.0,-.025,.5009,105.3,105.2,.5404,704,S
276,Monmouth,11-21,.2728,95.7,104.3,68.1,-.033,.4339,103.6,106.0,.3548,679,S
277,UC Riverside,10-21,.2674,98.6,107.7,67.6,-.049,.4319,103.0,105.5,.3787,808,S
278,Savannah St.,13-19,.2635,91.5,100.1,64.7,-.038,.3799,102.1,106.5,.6999,759,S
279,Texas St.,8-23,.2597,94.1,103.1,63.1,-.114,.4765,105.1,105.9,.5268,795,S
280,Western Illinois,10-20,.2573,94.2,103.3,62.4,-.068,.4818,105.6,106.2,.4772,834,S
281,UNC Wilmington,9-23,.2571,95.2,104.4,64.0,-.043,.5098,105.8,105.4,.5946,816,S
282,Fairleigh Dickinson,10-21,.2531,101.9,112.0,66.9,-.017,.4581,104.0,105.5,.6437,588,S
283,Tulane,17-16,.2439,99.8,110.1,63.1,+.159,.4091,101.9,105.2,.2982,801,S
284,Chicago St.,13-19,.2408,97.3,107.6,69.5,+.069,.4709,103.7,104.8,.5981,548,S
285,Central Michigan,10-21,.2297,106.2,118.0,65.3,+.004,.4342,101.8,104.1,.3313,537,S
286,Tennessee St.,5-25,.2277,101.8,113.2,65.1,-.050,.4822,105.2,105.8,.6410,791,S
287,SIU Edwardsville,11-20,.2271,100.2,111.5,67.4,-.005,.3546,103.5,109.0,.4213,584,S
288,Alabama St.,19-12,.2218,98.2,109.5,67.6,+.094,.2439,97.7,107.8,.4097,506,S
289,Liberty,11-21,.2192,100.7,112.5,64.8,-.130,.3225,102.4,109.2,.4523,645,S
290,Austin Peay,12-18,.2185,99.7,111.4,70.6,+.012,.3464,103.9,109.8,.3911,519,S
291,Georgia Southern,15-19,.2180,97.7,109.2,66.4,-.040,.2958,101.2,109.1,.3729,600,S
292,Loyola MD,11-19,.2151,97.0,108.5,66.1,+.063,.4611,103.9,105.3,.5172,653,S
293,Coppin St.,12-20,.2150,99.7,111.6,68.2,+.007,.3912,101.6,105.6,.6633,560,S
294,Nicholls St.,14-15,.2117,98.0,109.9,65.3,+.109,.3318,102.1,108.6,.5827,705,S
