"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"1","Air Force","28","8","20",".286","-5.07","2.58","4","10",,,,,"1889","2046","654","1673",".391","184","590",".312","397","610",".651",,"1091","336","243","53",,,"E"
"2","Akron","28","17","11",".607","3.44","1.32","11","7",,,,,"2126","2009","705","1574",".448","131","406",".323","585","767",".763",,"1088","431","226","89",,,"E"
"3","Alabama A&M","28","18","10",".643","-12.27","-12.07","14","4",,,,,"2126","2036","764","1929",".396","168","550",".305","430","661",".651",,"1277","386","366","99",,,"E"
"4","Alabama-Birmingham","28","14","14",".500","3.41","4.94","7","9",,,,,"2053","2096","737","1771",".416","145","466",".311","434","664",".654",,"1197","365","257","87",,,"E"
"5","Alabama State","28","13","15",".464","-16.56","-12.35","10","8",,,,,"1867","1931","648","1551",".418","144","446",".323","429","672",".638",,"1153","341","238","83",,,"E"
"6","Alabama","29","13","16",".448","7.44","7.62","6","10",,,,,"2094","2099","715","1665",".429","186","540",".344","478","673",".710",,"1212","312","184","120",,,"E"
"7","Albany (NY)","28","11","17",".393","-15.51","-9.59",,,,,,,"1828","1920","663","1545",".429","236","649",".364","266","385",".691",,"908","402","234","111",,,"E"
"8","Alcorn State","29","19","10",".655","-9.90","-11.60","15","3",,,,,"2161","2036","767","1727",".444","135","455",".297","458","654",".700",,"1260","410","300","71",,,"E"
"9","American","29","11","18",".379","-6.13","-3.42","5","11",,,,,"1904","1962","714","1778",".402","118","411",".287","358","566",".633",,"1011","376","274","118",,,"E"
"10","Appalachian State","32","23","9",".719","2.49","-3.75","13","3",,,,,"2530","2228","915","1882",".486","200","515",".388","500","705",".709",,"1238","534","325","127",,,"E"
"11","Arizona State","32","19","13",".594","12.11","8.75","10","8",,,,,"2539","2395","924","2127",".434","162","481",".337","529","726",".729",,"1349","516","274","87",,,"E"
"12","Arizona","34","27","7",".794","18.97","9.70","15","3",,,,,"2599","2284","904","1976",".457","155","482",".322","636","871",".730",,"1444","537","255","192",,,"E"
"13","Arkansas-Little Rock","28","4","24",".143","-12.17","-2.77","1","15",,,,,"1885","2148","662","1493",".443","182","505",".360","379","551",".688",,"911","329","151","60",,,"E"
"14","Arkansas-Pine Bluff","27","6","21",".222","-24.29","-10.05","5","13",,,,,"1828","2164","667","1568",".425","95","359",".265","399","667",".598",,"1152","327","277","91",,,"E"
"15","Arkansas State","28","10","18",".357","-4.73","-0.48","7","9",,,,,"2004","2123","714","1637",".436","191","569",".336","385","547",".704",,"1018","423","215","66",,,"E"
"16","Arkansas","34","19","15",".559","12.37","7.76","7","9",,,,,"2529","2372","931","2168",".429","292","832",".351","375","622",".603",,"1309","458","379","120",,,"E"
"17","Army","28","5","23",".179","-19.89","-6.43","2","10",,,,,"1482","1796","536","1476",".363","132","429",".308","278","449",".619",,"969","266","222","62",,,"E"
"18","Auburn","34","24","10",".706","13.59","8.20","9","7",,,,,"2423","2190","874","2118",".413","227","695",".327","448","684",".655",,"1475","438","247","110",,,"E"
"19","Austin Peay","28","18","10",".643","0.95","-3.29","11","7",,,,,"2110","1949","797","1618",".493","160","438",".365","356","492",".724",,"1060","426","175","106",,,"E"
"20","Ball State","31","22","9",".710","7.84","3.17","11","7",,,,,"2300","2138","834","1840",".453","215","538",".400","417","681",".612",,"1258","428","258","131",,,"E"
"21","Baylor","29","14","15",".483","2.20","4.59","4","12",,,,,"1933","1966","686","1622",".423","207","639",".324","354","550",".644",,"1120","429","257","129",,,"E"
"22","Belmont","28","7","21",".250","-10.98","-1.39",,,,,,,"1923","2107","633","1521",".416","273","776",".352","384","539",".712",,"985","412","154","46",,,"E"
"23","Bethune-Cookman","29","14","15",".483","-8.85","-9.63","12","6",,,,,"2186","2178","773","1775",".435","182","506",".360","458","686",".668",,"1190","397","242","65",,,"E"
"24","Boise State","27","12","15",".444","0.54","0.51","6","10",,,,,"1680","1679","597","1348",".443","129","368",".351","357","549",".650",,"913","291","211","55",,,"E"
"25","Boston College","30","11","19",".367","4.21","5.07","3","13",,,,,"2049","2075","725","1770",".410","165","547",".302","434","610",".711",,"1145","348","279","103",,,"E"
"26","Boston University","29","7","22",".241","-14.27","-6.51","5","13",,,,,"1758","1987","627","1524",".411","172","497",".346","332","483",".687",,"1022","358","185","65",,,"E"
"27","Bowling Green State","30","22","8",".733","3.34","0.79","14","4",,,,,"2251","2115","777","1578",".492","147","403",".365","550","740",".743",,"1054","466","200","56",,,"E"
"28","Bradley","30","14","16",".467","5.25","3.88","10","8",,,,,"1968","1927","721","1669",".432","108","361",".299","418","636",".657",,"1163","400","259","87",,,"E"
