"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"46","Campbell","32","12","20",".375","-14.12","-7.40","6","10","9","8","3","12","2164","2291","771","1747",".441","278","795",".350","344","508",".677","345","1049","454","193","140","427","572","S"
"47","Canisius","31","20","11",".645","1.76","-2.01","14","6","11","4","9","7","2418","2319","827","1809",".457","243","630",".386","521","704",".740","344","1034","389","213","119","360","563","S"
"48","Central Arkansas","28","8","20",".286","-15.61","-5.42","5","12","7","8","1","12","2104","2275","764","1712",".446","187","510",".367","389","648",".600","317","961","360","240","134","405","614","S"
"49","Central Connecticut State","30","11","19",".367","-12.85","-5.82","7","9","5","9","6","10","2117","2318","781","1794",".435","169","504",".335","386","538",".717","316","1036","391","207","146","420","557","S"
"50","Central Florida","29","12","17",".414","2.14","5.18","4","14","10","7","2","10","2101","2130","750","1704",".440","202","598",".338","399","649",".615","410","1103","372","200","118","397","520","S"
"51","Central Michigan","30","10","20",".333","-8.17","-2.28","3","15","8","8","2","12","2186","2216","745","1714",".435","239","745",".321","457","645",".709","321","939","357","226","36","317","548","S"
"52","Charleston Southern","31","13","18",".419","-5.34","-5.82","6","10","8","6","5","12","2523","2242","859","1876",".458","302","789",".383","503","689",".730","366","1160","424","202","88","334","565","S"
"53","Charlotte","29","16","13",".552","-0.43","-0.60","7","9","13","5","3","8","2070","2065","739","1658",".446","170","483",".352","422","644",".655","359","1109","400","181","75","428","525","S"
"54","Chattanooga","31","18","13",".581","-10.05","-7.62","12","4","13","3","5","10","2368","2298","790","1805",".438","202","600",".337","586","829",".707","410","1159","365","226","158","416","598","S"
"55","Chicago State","30","12","18",".400","-10.63","-1.73","7","8","8","5","4","13","2103","2318","744","1770",".420","209","613",".341","406","603",".673","301","934","330","257","75","364","685","S"
"56","Cincinnati","30","25","5",".833","16.31","5.05","14","3","19","2","6","3","2081","1743","715","1675",".427","173","525",".330","478","666",".718","409","1094","380","242","167","332","529","S"
"57","Citadel","32","7","25",".219","-17.33","-6.68","2","14","7","9","0","16","2160","2385","747","1734",".431","205","569",".360","461","639",".721","288","1065","437","136","93","401","614","S"
"58","Clemson","29","19","10",".655","11.12","5.12","10","7","15","3","4","7","1818","1644","632","1523",".415","148","491",".301","406","554",".733","342","1048","296","138","171","320","457","S"
"59","Cleveland State","31","21","10",".677","5.34","-0.15","12","4","12","3","9","7","2285","2054","795","1681",".473","228","557",".409","467","626",".746","324","1054","445","187","106","391","610","S"
"60","Coastal Carolina","31","19","12",".613","-6.20","-7.13","11","5","13","5","6","7","2257","2133","788","1815",".434","196","586",".334","485","697",".696","411","1224","331","204","82","442","613","S"
"61","Colgate","31","13","18",".419","-2.10","-3.67","6","12","7","8","6","10","2158","2083","785","1622",".484","260","657",".396","328","459",".715","220","954","440","143","70","355","529","S"
"62","College of Charleston","31","14","17",".452","-1.36","-1.60","6","10","9","8","5","9","1957","1936","686","1657",".414","203","590",".344","382","583",".655","379","1176","313","145","131","402","575","S"
"63","Colorado State","30","16","14",".533","4.25","2.61","7","10","14","6","2","8","2203","2074","723","1679",".431","159","483",".329","598","826",".724","378","1127","386","152","93","275","546","S"
"64","Colorado","30","21","9",".700","12.76","8.96","10","7","16","3","5","6","2183","2069","713","1614",".442","159","498",".319","598","827",".723","350","1130","361","193","107","402","509","S"
"65","Columbia","30","19","11",".633","2.71","-1.91","8","5","15","3","4","8","2053","1893","653","1462",".447","240","627",".383","507","657",".772","253","992","357","153","89","373","561","S"
"66","Connecticut","30","24","6",".800","16.47","5.84","12","5","17","3","7","3","2204","1885","745","1653",".451","218","554",".394","496","647",".767","302","1058","381","221","184","332","540","S"
"67","Coppin State","29","10","19",".345","-10.79","-4.11","7","9","5","9","5","10","2009","2179","653","1677",".389","213","662",".322","490","662",".740","338","970","336","173","61","340","492","S"
"68","Cornell","27","2","25",".074","-15.54","0.53","1","12","2","10","0","15","1730","2126","631","1532",".412","183","579",".316","285","428",".666","280","853","289","110","73","327","563","S"
"69","Creighton","29","23","6",".793","20.14","7.66","13","4","15","2","8","4","2309","1947","794","1616",".491","299","715",".418","422","559",".755","251","1010","518","124","43","290","513","S"
"70","Dartmouth","27","11","16",".407","-4.92","-2.92","4","9","8","7","3","9","1836","1803","652","1469",".444","167","439",".380","365","536",".681","295","903","341","158","84","325","536","S"
"71","Davidson","30","19","11",".633","1.10","-3.45","15","1","9","7","10","4","2340","2166","815","1701",".479","249","651",".382","461","652",".707","289","993","411","161","52","351","603","S"
"72","Dayton","30","21","9",".700","9.73","4.13","9","6","13","4","8","5","2208","2040","771","1663",".464","194","520",".373","472","687",".687","364","1059","394","176","83","369","606","S"
"73","Delaware State","29","9","20",".310","-12.28","-5.65","5","11","7","8","2","12","1786","1881","629","1482",".424","151","475",".318","377","549",".687","285","907","360","148","99","340","519","S"
"74","Delaware","31","22","9",".710","2.89","-1.11","14","2","10","2","12","7","2455","2331","831","1884",".441","226","659",".343","567","810",".700","356","1149","330","185","112","301","591","S"
"75","Denver","29","15","14",".517","2.21","0.18","8","6","9","6","6","8","1925","1861","667","1441",".463","242","619",".391","349","484",".721","204","758","444","209","101","289","586","S"
"76","DePaul","31","11","20",".355","2.12","7.89","3","15","8","11","3","9","2168","2347","742","1747",".425","184","539",".341","500","734",".681","383","1061","346","210","137","426","679","S"
"77","Detroit Mercy","32","13","19",".406","-2.83","0.17","6","10","8","7","5","12","2275","2267","778","1863",".418","191","595",".321","528","724",".729","399","1174","370","235","146","408","681","S"
"78","Drake","31","15","16",".484","-0.44","1.36","6","12","10","7","5","9","2116","2115","720","1592",".452","239","603",".396","437","612",".714","263","1009","395","171","67","370","571","S"
"79","Drexel","29","16","13",".552","2.00","0.18","8","8","9","4","7","9","1983","1930","688","1642",".419","147","475",".309","460","648",".710","307","1040","341","128","108","247","605","S"
"80","Duke","30","23","7",".767","21.09","8.39","12","5","18","1","5","6","2380","1999","804","1734",".464","275","697",".395","497","687",".723","353","1043","447","212","98","291","579","S"
"81","Duquesne","28","12","16",".429","0.77","1.16","4","11","6","10","6","6","2055","2066","695","1580",".440","201","555",".362","464","689",".673","302","984","421","166","80","313","501","S"
"82","East Carolina","31","16","15",".516","-3.36","-2.25","5","11","13","6","3","9","2271","2185","742","1680",".442","259","710",".365","528","739",".714","326","1066","428","198","100","357","535","S"
"83","East Tennessee State","33","18","15",".545","-6.13","-6.07","10","8","13","5","5","10","2533","2514","823","1913",".430","262","719",".364","625","836",".748","339","1147","405","253","98","394","661","S"
"84","Eastern Illinois","30","11","19",".367","-11.61","-4.28","7","9","7","8","4","11","2030","2206","703","1598",".440","152","476",".319","472","660",".715","315","971","359","171","144","399","576","S"
"85","Eastern Kentucky","32","23","9",".719","-0.19","-5.62","11","5","15","3","8","6","2529","2258","836","1708",".489","292","754",".387","565","753",".750","230","839","467","283","63","342","665","S"
"86","Eastern Michigan","30","18","12",".600","3.76","1.87","10","7","14","3","4","9","2005","1839","678","1641",".413","138","465",".297","509","756",".673","360","1093","319","261","183","368","578","S"
"87","Eastern Washington","30","15","15",".500","-4.58","-3.51","10","9","11","3","4","12","2284","2247","790","1732",".456","248","662",".375","456","666",".685","319","1104","410","140","128","367","582","S"
"88","Elon","31","18","13",".581","-3.46","-4.03","11","5","11","4","7","9","2328","2215","814","1736",".469","251","664",".378","449","617",".728","278","1052","431","155","90","373","558","S"
"89","Evansville","33","14","19",".424","-2.81","1.51","6","12","10","8","4","11","2290","2383","775","1672",".464","144","398",".362","596","830",".718","276","1057","485","166","124","423","623","S"
"90","Fairfield","32","7","25",".219","-7.32","-0.76","4","16","5","12","2","13","2030","2240","697","1753",".398","220","660",".333","416","607",".685","356","1134","360","141","117","469","734","S"
"91","Fairleigh Dickinson","31","10","21",".323","-10.79","-3.61","6","10","6","7","4","14","2157","2358","742","1766",".420","226","636",".355","447","621",".720","328","980","339","209","122","364","660","S"
"92","Florida A&M","30","13","17",".433","-11.93","-7.18","8","8","10","3","3","14","2148","2228","764","1899",".402","198","595",".333","422","643",".656","455","1187","345","218","126","440","716","S"
"93","Florida Atlantic","31","10","21",".323","-4.63","0.09","5","11","7","10","3","11","2061","2129","728","1715",".424","203","611",".332","402","624",".644","387","1144","374","149","146","402","585","S"
"94","Florida Gulf Coast","33","22","11",".667","-2.25","-6.70","14","4","16","2","6","9","2391","2213","869","1847",".470","192","573",".335","461","681",".677","324","1214","428","193","120","429","591","S"
"95","Florida International","31","15","16",".484","-5.22","-1.39","7","9","10","7","5","9","2128","2170","754","1681",".449","152","481",".316","468","698",".670","358","1118","336","221","130","436","560","S"
"96","Florida State","29","18","11",".621","13.58","7.61","9","8","12","5","6","6","2077","1904","714","1525",".468","154","411",".375","495","684",".724","317","1023","324","174","164","402","531","S"
"97","Florida","30","28","2",".933","20.06","7.23","17","0","18","0","10","2","2132","1747","732","1596",".459","200","567",".353","468","695",".673","367","1084","399","212","87","340","477","S"
"98","Fordham","28","9","19",".321","-3.56","2.94","2","13","7","7","2","12","2013","2195","693","1747",".397","203","645",".315","424","581",".730","393","1024","343","198","114","329","556","S"
"99","Fresno State","30","15","15",".500","4.22","5.29","8","9","11","5","4","10","2212","2148","750","1710",".439","233","646",".361","479","655",".731","286","1033","374","194","128","293","583","S"
"100","Furman","30","9","21",".300","-17.20","-7.17","3","13","6","9","3","12","1955","2196","680","1540",".442","164","492",".333","431","633",".681","270","940","288","147","85","407","509","S"
"101","Gardner-Webb","33","18","15",".545","-7.26","-6.83","10","6","11","6","7","9","2425","2309","848","1895",".447","175","516",".339","554","807",".686","401","1182","498","252","104","405","607","S"
"102","George Mason","29","11","18",".379","3.17","5.38","5","11","7","10","4","8","2018","2082","708","1597",".443","140","401",".349","462","650",".711","316","1005","315","156","100","406","607","S"
"103","George Washington","29","22","7",".759","11.70","4.22","10","5","16","2","6","5","2139","1922","741","1601",".463","165","456",".362","492","749",".657","353","1101","410","205","126","379","527","S"
"104","Georgetown","29","17","12",".586","12.46","8.67","8","9","15","5","2","7","2062","1952","709","1538",".461","153","471",".325","491","681",".721","294","975","387","172","131","339","636","S"
"105","Georgia Southern","32","14","18",".438","-11.22","-8.43","6","10","8","7","6","11","2287","2269","798","1821",".438","235","685",".343","456","692",".659","354","1134","317","230","55","389","558","S"
"106","Georgia State","30","23","7",".767","5.79","-2.89","16","1","13","0","10","7","2349","2070","802","1693",".474","227","589",".385","518","669",".774","249","942","408","237","146","253","523","S"
"107","Georgia Tech","30","14","16",".467","5.14","5.61","5","12","9","9","5","7","2000","2014","725","1676",".433","156","495",".315","394","576",".684","336","1083","397","154","130","369","527","S"
"108","Georgia","29","17","12",".586","7.90","5.31","11","6","14","4","3","8","2007","1932","664","1508",".440","141","407",".346","538","800",".673","349","1089","304","141","142","371","548","S"
"109","Gonzaga","31","25","6",".806","16.14","4.71","15","3","16","1","9","5","2393","2018","853","1716",".497","227","571",".398","460","650",".708","305","1119","463","209","126","345","560","S"
"110","Grambling","26","4","22",".154","-24.19","-8.07","3","14","3","8","1","14","1702","2082","581","1404",".414","165","509",".324","375","565",".664","274","790","275","161","54","388","499","S"
"111","Grand Canyon","28","14","14",".500","-6.05","-2.97","9","6","10","5","4","9","2017","2005","628","1447",".434","190","540",".352","571","770",".742","266","991","353","113","77","352","567","S"
"112","Green Bay","29","24","5",".828","8.87","0.41","14","2","15","3","9","2","2173","1846","768","1608",".478","144","397",".363","493","704",".700","329","1072","450","212","215","360","484","S"
"113","Hampton","29","18","11",".621","-4.82","-8.10","13","4","9","5","9","6","2120","2025","701","1660",".422","158","492",".321","560","856",".654","369","1108","351","224","179","433","675","S"
"114","Hartford","31","16","15",".516","-6.92","-5.73","10","6","9","6","7","9","2029","2066","683","1487",".459","246","655",".376","417","590",".707","214","852","380","175","61","440","603","S"
"115","Harvard","29","25","4",".862","11.19","-1.21","12","1","13","1","12","3","2111","1722","711","1521",".467","166","426",".390","523","724",".722","304","984","412","231","144","335","514","S"
"116","Hawaii","29","19","10",".655","4.71","-0.73","8","7","13","6","6","4","2314","2106","811","1715",".473","167","495",".337","525","727",".722","373","1050","413","177","103","343","566","S"
"117","High Point","30","16","14",".533","-8.73","-5.87","12","4","10","4","6","10","2122","2165","777","1644",".473","175","459",".381","393","535",".735","289","954","437","181","107","361","507","S"
"118","Hofstra","32","10","22",".313","-6.31","-1.84","5","11","8","8","2","14","2184","2327","724","1728",".419","223","664",".336","513","783",".655","402","1156","344","158","105","391","620","S"
"119","Holy Cross","31","19","12",".613","-0.90","-3.19","12","6","9","4","10","8","2097","2026","703","1630",".431","195","556",".351","496","680",".729","309","1025","350","189","119","364","536","S"
"120","Houston Baptist","30","6","24",".200","-16.89","-4.54","2","15","5","9","1","15","2014","2294","709","1670",".425","148","435",".340","448","658",".681","337","1072","371","154","65","468","632","S"
"121","Houston","31","16","15",".516","2.83","4.09","8","10","13","6","3","9","2212","2251","783","1709",".458","196","539",".364","450","669",".673","327","1064","457","171","172","391","564","S"
"122","Howard","31","7","24",".226","-15.98","-5.02","5","11","4","7","3","17","1921","2205","616","1596",".386","168","491",".342","521","766",".680","362","1035","253","195","121","516","683","S"
"123","Idaho State","28","11","17",".393","-5.40","-3.79","8","11","9","4","2","13","1980","1958","668","1487",".449","160","436",".367","484","674",".718","331","970","324","205","75","344","505","S"
"124","Idaho","30","13","17",".433","-5.91","-3.08","6","9","9","6","4","11","2172","2240","745","1669",".446","187","537",".348","495","731",".677","332","1037","342","126","55","349","631","S"
"125","Illinois-Chicago","31","6","25",".194","-6.71","1.09","1","15","4","13","2","12","2071","2248","714","1696",".421","172","525",".328","471","660",".714","336","1054","346","171","55","388","672","S"
"126","Illinois State","31","16","15",".516","1.15","2.08","9","9","13","5","3","10","2135","2146","705","1719",".410","230","722",".319","495","699",".708","300","1064","379","244","143","386","641","S"
"127","Illinois","30","17","13",".567","10.05","8.15","6","11","12","7","5","6","1940","1883","684","1682",".407","181","573",".316","391","540",".724","333","1022","302","183","112","314","516","S"
"128","Incarnate Word","26","20","6",".769","-7.44","-9.65","8","5","14","1","6","5","2157","1879","747","1526",".490","199","510",".390","464","677",".685","287","1036","413","172","106","364","466","S"
"129","Indiana State","31","22","9",".710","3.92","0.54","12","6","13","3","9","6","2214","2095","746","1637",".456","201","576",".349","521","722",".722","275","1031","412","183","113","354","578","S"
"130","Indiana","30","17","13",".567","12.00","6.53","7","10","15","5","2","8","2178","2014","733","1642",".446","163","475",".343","549","757",".725","379","1181","336","184","131","451","546","S"
"131","Iona","29","20","9",".690","5.61","-0.52","17","3","11","2","9","7","2435","2257","832","1720",".484","303","759",".399","468","661",".708","256","968","508","196","110","312","516","S"
"132","Iowa State","29","22","7",".759","18.70","9.53","10","7","15","1","7","6","2391","2125","846","1809",".468","240","705",".340","459","666",".689","300","1132","539","176","85","302","501","S"
"133","Iowa","30","20","10",".667","20.63","7.66","9","8","15","4","5","6","2499","2110","851","1809",".470","175","488",".359","622","851",".731","409","1235","489","218","151","348","546","S"
"134","IPFW","31","22","9",".710","-0.51","-3.62","10","4","14","2","8","7","2376","2191","823","1677",".491","249","631",".395","481","723",".665","323","1047","448","208","81","392","524","S"
"135","IUPUI","31","6","25",".194","-12.97","-0.90","1","13","5","10","1","15","2079","2298","761","1733",".439","137","436",".314","420","563",".746","256","972","326","154","95","338","500","S"
"136","Jackson State","29","11","18",".379","-10.15","-7.49","7","10","6","6","5","12","1903","1980","659","1591",".414","108","378",".286","477","657",".726","349","1027","272","177","89","437","667","S"
"137","Jacksonville State","31","10","21",".323","-11.98","-5.16","4","12","7","6","3","15","2014","2176","685","1633",".419","175","541",".323","469","695",".675","336","950","366","195","110","351","601","S"
"138","Jacksonville","30","12","18",".400","-11.79","-4.79","8","10","10","5","2","13","2231","2385","756","1729",".437","188","553",".340","531","749",".709","362","1027","393","220","105","409","565","S"
"139","James Madison","30","11","19",".367","-7.33","-2.00","6","10","6","7","5","12","1890","2050","627","1528",".410","148","533",".278","486","714",".681","298","1005","265","180","92","369","570","S"
"140","Kansas State","30","20","10",".667","12.93","8.39","10","7","17","1","3","9","2072","1936","725","1676",".433","178","542",".328","444","679",".654","377","1090","463","185","91","370","645","S"
"141","Kansas","30","23","7",".767","22.28","11.88","14","3","17","2","6","5","2381","2069","822","1649",".498","167","478",".349","570","806",".707","353","1146","466","176","172","398","631","S"
"142","Kennesaw State","31","6","25",".194","-16.06","-3.96","3","15","4","11","2","14","2016","2304","708","1676",".422","192","559",".343","408","628",".650","346","1019","344","182","95","494","673","S"
"143","Kent State","31","16","15",".516","-0.86","-1.22","7","11","11","7","5","8","2164","2117","744","1738",".428","226","653",".346","450","643",".700","333","1047","353","192","103","374","650","S"
"144","Kentucky","30","22","8",".733","18.09","7.92","12","5","17","3","5","5","2301","1996","763","1688",".452","150","478",".314","625","909",".688","453","1251","345","142","190","371","562","S"
"145","La Salle","29","14","15",".483","4.29","4.91","6","9","11","7","3","8","1957","1975","673","1642",".410","168","514",".327","443","629",".704","354","1044","362","160","102","345","462","S"
"146","Lafayette","31","11","20",".355","-7.09","-2.82","6","12","6","7","5","13","2212","2315","781","1661",".470","231","580",".398","419","563",".744","264","927","400","162","66","384","555","S"
"147","Lamar","29","4","25",".138","-15.95","-5.32","3","14","3","10","1","15","1939","2247","692","1570",".441","93","294",".316","462","621",".744","261","906","349","156","83","411","534","S"
"148","Lehigh","32","14","18",".438","-6.09","-3.40","7","11","10","6","4","12","2121","2207","758","1756",".432","199","555",".359","406","574",".707","280","1067","416","159","112","384","572","S"
"149","Liberty","32","11","21",".344","-10.30","-7.51","5","11","8","9","3","12","2250","2234","816","1781",".458","180","502",".359","438","622",".704","403","1186","423","150","110","424","564","S"
"150","Lipscomb","30","15","15",".500","-8.25","-5.18","10","8","7","5","8","10","2276","2355","727","1683",".432","275","778",".353","547","800",".684","291","991","416","202","57","376","661","S"
"151","Long Beach State","29","13","16",".448","2.52","4.38","9","6","8","6","5","10","2019","2050","746","1745",".428","175","566",".309","352","532",".662","401","1074","360","175","70","353","522","S"
"152","Long Island University","29","9","20",".310","-13.27","-5.17","4","12","5","7","4","13","2080","2315","707","1653",".428","218","631",".345","448","625",".717","325","1001","407","125","66","371","509","S"
"153","Longwood","32","8","24",".250","-20.25","-5.50","3","13","5","11","3","13","2235","2570","812","1845",".440","180","513",".351","431","591",".729","309","998","430","216","58","408","623","S"
"154","Louisiana-Lafayette","30","19","11",".633","3.23","-0.59","10","7","14","2","5","9","2446","2243","844","1806",".467","207","572",".362","551","812",".679","406","1131","408","224","122","416","629","S"
"155","Louisiana-Monroe","25","9","16",".360","-4.55","1.03","6","11","6","6","3","10","1607","1718","582","1363",".427","131","410",".320","312","495",".630","262","870","315","147","91","336","464","S"
"156","Louisiana State","29","18","11",".621","10.98","6.29","9","8","14","3","4","8","2206","2070","797","1788",".446","192","566",".339","420","618",".680","394","1170","414","231","177","407","545","S"
"157","Louisiana Tech","31","25","6",".806","12.91","-2.26","13","3","15","2","10","4","2521","2019","872","1906",".458","232","722",".321","545","800",".681","398","1224","499","294","163","358","586","S"
"158","Louisville","30","25","5",".833","23.42","3.89","14","3","15","3","10","2","2454","1868","866","1818",".476","241","649",".371","481","734",".655","403","1123","464","297","145","313","602","S"
"159","Loyola (IL)","32","10","22",".313","-4.49","-0.88","4","14","9","6","1","16","2105","2199","744","1609",".462","191","546",".350","426","606",".703","266","973","419","176","82","426","622","S"
"160","Loyola Marymount","31","13","18",".419","0.01","4.31","4","14","9","8","4","10","2271","2383","815","1854",".440","137","461",".297","504","663",".760","366","1039","394","224","114","373","621","S"
"161","Loyola (MD)","30","11","19",".367","-10.13","-2.78","6","12","7","7","4","12","1957","2158","680","1642",".414","145","452",".321","452","678",".667","329","935","336","236","128","357","584","S"
