"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"1","Abilene Christian","30","11","19",".367","-19.41","-3.31","2","11","11","5","0","14","2158","2169","717","1612",".445","235","580",".405","489","655",".747","295","979","388","213","70","433","626","S"
"2","Air Force","28","11","17",".393","-4.10","2.17","5","12","8","9","3","8","1857","1952","637","1464",".435","207","618",".335","376","539",".698","246","895","394","158","89","376","519","S"
"3","Akron","31","20","11",".645","1.88","-0.06","12","6","14","4","6","7","2098","2038","726","1696",".428","219","637",".344","427","683",".625","382","1090","348","206","132","414","552","S"
"4","Alabama A&M","27","12","15",".444","-13.89","-9.01","9","8","7","4","5","11","1738","1842","586","1435",".408","168","513",".327","398","609",".654","257","896","339","164","109","354","591","S"
"5","Alabama-Birmingham","30","18","12",".600","1.57","-0.39","7","9","13","7","5","5","2196","2100","774","1860",".416","149","499",".299","499","748",".667","496","1344","381","163","125","390","521","S"
"6","Alabama State","28","17","11",".607","-12.17","-11.17","11","6","12","2","5","9","2024","1967","709","1667",".425","160","550",".291","446","665",".671","385","1021","370","184","104","348","511","S"
"7","Alabama","30","12","18",".400","7.99","9.03","6","11","12","7","0","11","2031","2024","694","1566",".443","171","511",".335","472","684",".690","297","978","333","202","135","359","578","S"
"8","Albany (NY)","29","15","14",".517","-5.10","-5.86","9","7","9","3","6","11","1891","1869","643","1477",".435","136","384",".354","469","629",".746","301","993","323","156","90","372","506","S"
"9","Alcorn State","29","11","18",".379","-14.95","-8.19","8","9","9","5","2","13","1870","1975","652","1548",".421","130","419",".310","436","666",".655","273","895","263","173","111","338","543","S"
"10","American","30","18","12",".600","0.97","-3.70","13","5","10","3","8","9","1934","1794","698","1411",".495","192","507",".379","346","490",".706","220","903","458","184","105","422","535","S"
"11","Appalachian State","30","9","21",".300","-15.14","-6.94","5","11","7","8","2","13","2034","2152","719","1730",".416","151","500",".302","445","697",".638","392","1091","327","187","83","362","597","S"
"12","Arizona State","30","21","9",".700","15.25","7.92","10","7","17","3","4","6","2267","2047","764","1685",".453","244","625",".390","495","717",".690","255","1084","428","158","176","343","579","S"
"13","Arizona","30","28","2",".933","24.32","8.78","15","2","20","0","8","2","2222","1756","792","1691",".468","156","437",".357","482","729",".661","389","1170","456","174","130","314","495","S"
"14","Arkansas-Little Rock","29","14","15",".483","-5.44","-0.29","9","8","8","6","6","9","2035","2128","695","1636",".425","141","442",".319","504","689",".731","320","1046","328","173","113","393","617","S"
"15","Arkansas-Pine Bluff","29","12","17",".414","-14.45","-5.48","10","7","6","5","6","12","1824","2051","614","1495",".411","178","519",".343","418","635",".658","288","878","324","271","70","445","570","S"
"16","Arkansas State","29","18","11",".621","0.90","-3.10","10","7","11","3","7","8","2195","2036","720","1606",".448","255","668",".382","500","680",".735","259","992","386","197","76","355","505","S"
"17","Arkansas","30","21","9",".700","16.19","5.65","10","7","18","4","3","5","2441","2125","833","1860",".448","229","618",".371","546","756",".722","359","1090","472","264","168","350","621","S"
"18","Army","30","15","15",".500","-5.24","-4.41","10","8","8","7","7","8","2174","2178","776","1745",".445","231","674",".343","391","560",".698","333","1007","419","184","131","384","553","S"
"19","Auburn","28","13","15",".464","5.51","5.44","5","12","12","7","1","8","2019","2017","684","1562",".438","160","520",".308","491","686",".716","309","963","327","178","121","338","605","S"
"20","Austin Peay","30","12","18",".400","-10.54","-5.82","6","10","9","7","3","11","2287","2368","797","1632",".488","158","459",".344","535","804",".665","298","999","444","206","156","471","517","S"
"21","Ball State","28","5","23",".179","-9.18","1.48","2","15","5","9","0","14","1847","2068","609","1505",".405","190","593",".320","439","637",".689","362","1043","357","128","67","471","572","S"
"22","Baylor","30","20","10",".667","15.51","9.97","8","9","16","5","4","5","2251","2035","767","1694",".453","229","590",".388","488","736",".663","438","1180","459","157","167","365","523","S"
"23","Belmont","32","24","8",".750","2.80","-2.56","14","2","15","1","9","7","2573","2373","882","1741",".507","285","714",".399","524","719",".729","267","985","504","218","75","414","665","S"
"24","Bethune-Cookman","31","7","24",".226","-16.59","-7.18","5","11","5","6","2","18","1964","2177","662","1655",".400","209","584",".358","431","602",".716","358","974","302","193","77","399","661","S"
"25","Binghamton","29","7","22",".241","-15.33","-5.92","4","12","3","10","4","12","1798","2071","577","1505",".383","176","549",".321","468","673",".695","302","939","273","180","59","412","580","S"
"26","Boise State","30","19","11",".633","9.35","5.03","9","8","14","5","5","6","2305","2099","800","1737",".461","234","614",".381","471","625",".754","332","1034","359","177","55","301","575","S"
"27","Boston College","30","8","22",".267","3.60","9.15","4","13","5","12","3","10","2059","2203","671","1498",".448","237","668",".355","480","650",".738","250","894","377","126","85","342","559","S"
"28","Boston University","32","23","9",".719","2.28","-2.35","15","3","12","5","11","4","2303","2155","818","1809",".452","263","716",".367","404","562",".719","309","1085","443","223","61","385","540","S"
"29","Bowling Green State","30","12","18",".400","-2.14","0.45","6","11","8","9","4","9","1891","1913","696","1636",".425","113","388",".291","386","606",".637","321","1059","361","234","168","431","528","S"
"30","Bradley","32","12","20",".375","-2.38","0.02","7","11","11","9","1","11","2036","2113","721","1720",".419","154","479",".322","440","628",".701","356","1064","306","226","84","383","635","S"
"31","Brigham Young","31","21","10",".677","13.06","5.79","13","5","16","3","5","7","2635","2393","915","1939",".472","166","445",".373","639","935",".683","401","1271","506","225","97","349","599","S"
"32","Brown","27","15","12",".556","-1.36","-4.48","7","6","8","4","7","8","1907","1785","679","1568",".433","178","475",".375","371","561",".661","303","1072","358","154","125","354","536","S"
"33","Bryant","32","18","14",".563","-3.90","-4.55","10","6","11","5","7","9","2351","2304","840","1788",".470","201","602",".334","470","669",".703","308","1095","420","207","93","397","568","S"
"34","Bucknell","30","16","14",".533","-0.79","-2.62","11","7","8","6","8","8","1977","1922","698","1627",".429","196","502",".390","385","516",".746","287","1067","357","138","49","321","500","S"
"35","Buffalo","27","18","9",".667","3.88","-1.58","12","5","12","3","6","6","1980","1818","678","1511",".449","166","509",".326","458","643",".712","332","999","402","184","128","349","503","S"
"36","Butler","29","13","16",".448","7.49","7.99","3","14","9","9","4","7","2004","1959","710","1660",".428","170","531",".320","414","619",".669","326","1007","322","173","78","290","498","S"
"37","Cal Poly","28","10","18",".357","-1.80","2.12","6","9","7","6","3","12","1777","1804","628","1531",".410","181","545",".332","340","496",".685","313","908","330","171","79","262","522","S"
"38","Cal State Bakersfield","30","12","18",".400","-4.63","-4.01","5","11","7","8","5","10","2084","2059","724","1648",".439","210","531",".395","426","624",".683","355","1042","372","198","107","417","670","S"
"39","Cal State Fullerton","29","11","18",".379","-4.43","-0.68","6","9","8","7","3","11","1959","2068","686","1601",".428","175","525",".333","412","628",".656","299","979","319","134","52","349","560","S"
"40","Cal State Northridge","32","15","17",".469","-4.94","-2.97","7","9","12","3","3","14","2461","2490","813","1784",".456","139","370",".376","696","886",".786","350","1131","437","233","90","412","658","S"
"41","California-Davis","30","9","21",".300","-10.43","-1.29","4","11","8","9","1","12","2128","2334","731","1648",".444","241","668",".361","425","611",".696","245","861","365","155","70","364","590","S"
"42","California-Irvine","31","21","10",".677","4.81","0.19","12","3","11","4","10","6","2219","2013","816","1719",".475","177","499",".355","410","647",".634","327","1190","491","176","193","392","576","S"
"43","California-Riverside","29","10","19",".345","-6.75","-2.05","5","10","8","7","2","12","2007","2077","700","1596",".439","127","422",".301","480","683",".703","297","987","333","189","130","382","562","S"
"44","California-Santa Barbara","28","20","8",".714","6.05","0.78","11","4","12","3","8","5","2028","1836","690","1480",".466","195","511",".382","453","634",".715","291","997","447","145","131","313","530","S"
"45","California","30","18","12",".600","11.09","7.96","9","8","12","6","6","6","2194","2100","792","1737",".456","169","484",".349","441","648",".681","318","1086","454","160","134","311","526","S"
