"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"1","Air Force","32","18","14",".563","4.18","4.28","8","8","13","2","3","11","2241","2170","795","1690",".470","272","712",".382","379","531",".714","240","964","508","206","55","380","557","R"
"2","Akron","33","26","7",".788","8.11","0.18","14","2","15","1","7","4","2369","2071","852","1874",".455","229","689",".332","436","678",".643","425","1243","485","231","189","458","577","R"
"3","Alabama A&M","31","11","20",".355","-18.40","-9.82","6","12","7","6","3","12","1957","2160","696","1746",".399","155","528",".294","410","651",".630","377","1115","367","182","102","444","550","R"
"4","Alabama-Birmingham","33","16","17",".485","0.26","1.51","7","9","11","4","4","10","2357","2351","857","1980",".433","219","655",".334","424","586",".724","408","1212","529","269","85","510","621","R"
"5","Alabama State","32","10","22",".313","-17.88","-9.01","8","10","7","5","3","14","1979","2231","734","1800",".408","168","557",".302","343","575",".597","396","1136","371","202","103","479","598","R"
"6","Alabama","36","23","13",".639","9.79","5.93","12","6","16","4","4","8","2268","2102","808","1887",".428","197","588",".335","455","648",".702","381","1178","380","294","160","451","619","R"
"7","Albany (NY)","35","24","11",".686","-0.87","-4.53","9","7
   ","11","4","11","5","2251","2123","761","1748",".435","213","575",".370","516","700",".737","345","1168","394","192","71","468","564","R"
"8","Alcorn State","34","10","24",".294","-14.26","-7.11","8","10","5","8","4","14","2055","2248","726","1888",".385","165","562",".294","438","705",".621","342","1107","308","221","130","512","677","R"
"9","American","30","10","20",".333","-8.56","-2.53","5","9","7","6","3","14","1735","1916","616","1491",".413","177","489",".362","326","460",".709","270","973","348","101","75","364","431","R"
"10","Appalachian State","31","15","16",".484","-7.91","-5.77","10","8","10","4","4","11","2211","2221","777","1781",".436","201","560",".359","456","662",".689","352","1098","356","212","119","420","575","R"
"11","Arizona State","35","22","13",".629","8.86","4.60","9","9","16","4","4","7","2512","2363","902","1964",".459","250","722",".346","458","706",".649","338","1261","497","222","211","445","553","R"
