"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"300","Texas Christian","33","18","15",".545","1.72","3.44","7","7","14","3","3","9","2382","2379","819","1884",".435","239","668",".358","505","731",".691","357","1086","445","228","80","455","628","Q"
"301","Texas-El Paso","32","15","17",".469","2.92","2.85","7","9","11","5","1","11","2021","2019","727","1588",".458","144","423",".340","423","619",".683","269","1015","447","151","89","431","540","Q"
"302","Texas-Pan American","32","11","21",".344","-13.66","-4.44","5","5","10","5","1","15","1993","2194","677","1631",".415","230","631",".365","409","580",".705","268","974","423","163","63","492","568","Q"
"303","Texas-San Antonio","32","18","14",".563","-1.83","-4.40","10","6","8","5","8","8","2339","2168","793","1775",".447","272","690",".394","481","647",".743","299","1058","433","263","97","443","557","Q"
"304","Texas Southern","33","15","18",".455","-10.26","-8.68","12","6","9","1","4","16","2021","2073","684","1656",".413","183","555",".330","470","746",".630","372","1159","331","278","139","560","592","Q"
"305","Texas State","30","13","17",".433","-8.66","-5.31","5","11","9","5","3","11","2292","2243","796","1842",".432","245","679",".361","455","639",".712","360","1084","419","247","95","443","629","Q"
"306","Texas Tech","31","8","23",".258","-2.61","6.10","1","17","7","8","1","11","1844","2114","644","1470",".438","142","398",".357","414","590",".702","242","939","345","161","92","530","658","Q"
"307","Texas","34","20","14",".588","14.00","8.12","9","9","15","3","4","7","2470","2270","836","1927",".434","197","601",".328","601","820",".733","453","1228","419","231","125","426","659","Q"
"308","Toledo","36","19","17",".528","-3.35","-3.64","7","9","11","8","5","7","2500","2385","871","1916",".455","217","588",".369","543","748",".726","382","1203","469","251","79","490","605","Q"
"309","Towson","32","1","31",".031","-16.71","1.54","1","17","1","13","0","15","1647","2231","580","1581",".367","108","400",".270","379","647",".586","439","1147","261","177","135","580","587","Q"
"310","Troy","28","10","18",".357","-7.48","-0.85","5","11","6","7","4","10","1996","2122","721","1758",".410","250","724",".345","304","450",".676","392","995","360","188","103","347","478","Q"
"311","Tulane","31","15","16",".484","-0.12","-1.61","3","13","12","5","2","10","2002","1910","693","1641",".422","184","546",".337","432","653",".662","336","1051","381","219","104","394","515","Q"
"312","Tulsa","31","17","14",".548","5.82","2.85","10","6","10","5","6","6","2093","2001","710","1577",".450","178","463",".384","495","727",".681","339","1126","345","149","152","458","575","Q"
"313","UCLA","33","19","14",".576","10.53","5.28","11","7","10","4","4","7","2263","2063","848","1838",".461","169","453",".373","398","596",".668","363","1140","473","260","153","395","560","Q"
"314","Utah State","37","21","16",".568","3.49","-0.37","8","6","17","5","4","10","2551","2400","896","1887",".475","208","566",".367","551","766",".719","337","1234","497","146","119","449","665","Q"
"315","Utah Valley","33","20","13",".606","-6.53","-7.11","9","1","14","2","5","10","2305","2190","819","1931",".424","189","599",".316","478","685",".698","422","1294","443","214","121","418","524","Q"
"316","Utah","31","6","25",".194","-9.31","5.49","3","15","6","9","0","12","1720","2161","606","1496",".405","163","532",".306","345","518",".666","226","896","320","159","78","435","514","Q"
"317","Valparaiso","34","22","12",".647","0.61","0.02","14","4","14","3","8","8","2323","2223","786","1682",".467","229","673",".340","522","730",".715","287","1123","466","204","98","481","585","Q"
"318","Vanderbilt","36","25","11",".694","15.71","8.04","10","6","13","5","6","5","2615","2339","885","1921",".461","307","792",".388","538","770",".699","373","1244","458","214","144","476","580","Q"
"319","Vermont","36","24","12",".667","0.98","-5.19","13","3","10","4","10","6","2415","2193","848","1914",".443","191","561",".340","528","714",".739","401","1278","475","221","86","445","627","Q"
"320","Villanova","32","13","19",".406","7.89","7.64","5","13","9","6","2","9","2266","2258","762","1848",".412","196","622",".315","546","724",".754","441","1252","394","178","101","447","613","Q"
"321","Virginia Commonwealth","36","29","7",".806","8.79","0.63","15","3","13","1","10","3","2448","2154","837","2040",".410","267","800",".334","507","740",".685","439","1205","433","379","131","409","646","Q"
