"151","McNeese State","28","13","15",".464","-8.60","-7.42","11","7","","","","","2093","2126","","753","1817",".414","201","576",".349","386","610",".633","","1104","429","319","100","",""
"152","Memphis","28","13","15",".464","5.34","5.27","6","10","","","","","2141","2139","","782","1764",".443","129","466",".277","448","640",".700","","1166","387","273","161","",""
"153","Mercer","26","8","18",".308","-17.44","-7.32","5","11","","","","","1659","1903","","580","1521",".381","137","479",".286","362","553",".655","","1028","265","193","70","",""
"154","Miami (FL)","30","23","7",".767","16.78","9.18","15","3","","","","","2178","1950","","791","1671",".473","123","369",".333","473","677",".699","","1267","458","259","158","",""
"155","Miami (OH)","32","24","8",".750","11.67","4.48","15","3","","","","","2163","1933","","767","1710",".449","193","573",".337","436","570",".765","","1084","387","215","62","",""
"156","Michigan State","38","33","5",".868","22.62","10.89","15","1","","","","","2725","2262","","1020","2152",".474","171","503",".340","514","701",".733","","1473","569","298","100","",""
"157","Michigan","31","12","19",".387","8.52","11.71","5","11","","","","","2035","2134","","685","1626",".421","184","530",".347","481","640",".752","","1106","339","163","102","",""
"158","Middle Tennessee","31","12","19",".387","-8.81","-4.77","9","9","","","","","2143","2224","","765","1653",".463","205","577",".355","408","566",".721","","1037","444","294","103","",""
"159","Milwaukee","27","8","19",".296","-7.00","0.38","5","9","","","","","1714","1875","","602","1440",".418","130","401",".324","380","540",".704","","919","294","166","39","",""
"160","Minnesota","28","17","11",".607","13.53","9.93","8","8","","","","","1928","1827","","714","1576",".453","133","357",".373","367","540",".680","","1065","427","215","162","",""
"161","Mississippi State","33","20","13",".606","8.04","3.39","8","8","","","","","2279","2129","","838","1898",".442","182","596",".305","421","647",".651","","1437","443","201","119","",""
"162","Mississippi Valley State","27","14","13",".519","-13.82","-12.07","10","6","","","","","1969","2002","","729","1860",".392","176","529",".333","335","519",".645","","1253","297","236","187","",""
"163","Mississippi","33","20","13",".606","14.83","8.17","8","8","","","","","2540","2214","","911","1946",".468","193","606",".318","525","836",".628","","1346","545","326","133","",""
"164","Missouri-Kansas City","30","8","22",".267","-8.48","-2.78","3","11","","","","","2129","2264","","751","1713",".438","141","425",".332","486","693",".701","","1101","429","196","46","",""
